Result: _result
Table: keys: [_start, _stop, DOOR_ID, _field, _measurement]
                   _start:time                      _stop:time          DOOR_ID:string           _field:string     _measurement:string                      _time:time                  _value:float
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-03T15:00:00.000000000Z                            24
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-03T16:00:00.000000000Z                            23
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-03T17:00:00.000000000Z                             4
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-03T18:00:00.000000000Z                            12
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-03T19:00:00.000000000Z                            19
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-03T20:00:00.000000000Z                            26
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-03T21:00:00.000000000Z                             3
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-03T22:00:00.000000000Z                            28
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-03T23:00:00.000000000Z                            11
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-04T00:00:00.000000000Z                             6
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-04T01:00:00.000000000Z                            28
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-04T02:00:00.000000000Z                            29
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-04T11:00:00.000000000Z                             3
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-04T12:00:00.000000000Z                            14
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-04T13:00:00.000000000Z                            14
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-04T14:00:00.000000000Z                            14
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-04T15:00:00.000000000Z                             3
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-04T16:00:00.000000000Z                            15
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-04T17:00:00.000000000Z                             2
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-04T18:00:00.000000000Z                            17
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-04T19:00:00.000000000Z                            19
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-04T20:00:00.000000000Z                            20
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-04T21:00:00.000000000Z                            10
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-04T22:00:00.000000000Z                             6
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-04T23:00:00.000000000Z                            30
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-05T00:00:00.000000000Z                             7
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-05T01:00:00.000000000Z                            17
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-05T02:00:00.000000000Z                             0
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-05T11:00:00.000000000Z                             9
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-05T12:00:00.000000000Z                            29
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-05T13:00:00.000000000Z                            18
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-05T14:00:00.000000000Z                            11
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-05T15:00:00.000000000Z                            22
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-05T16:00:00.000000000Z                             6
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-05T17:00:00.000000000Z                            19
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-05T18:00:00.000000000Z                            20
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-05T19:00:00.000000000Z                            24
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-05T20:00:00.000000000Z                            18
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-05T21:00:00.000000000Z                            30
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-05T22:00:00.000000000Z                             6
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-05T23:00:00.000000000Z                            29
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-06T00:00:00.000000000Z                            26
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-06T01:00:00.000000000Z                            19
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-06T02:00:00.000000000Z                            27
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-06T11:00:00.000000000Z                             4
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-06T12:00:00.000000000Z                            28
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-06T13:00:00.000000000Z                            25
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-06T14:00:00.000000000Z                             6
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-06T15:00:00.000000000Z                            10
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-06T16:00:00.000000000Z                            16
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-06T17:00:00.000000000Z                            14
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-06T18:00:00.000000000Z                             4
